Youtuber,Country,highest_monthly_earnings
T-Series,India,9000000
YouTube Movies,United States,0.05
MrBeast,United States,5400000
Cocomelon - Nursery Rhymes,United States,7900000
SET India,India,7300000
Music,nan,0
ýýý Kids Diana Show,United States,2900000
PewDiePie,Japan,156700
Like Nastya,Russia,195800
Vlad and Niki,United States,2300000
Zee Music Company,India,3200000
WWE,United States,2900000
Gaming,nan,0
BLACKPINK,South Korea,2000000
Goldmines,nan,0.07
Sony SAB,India,6600000
5-Minute Crafts,United Kingdom,0
BANGTANTV,South Korea,673200
Sports,United States,0.06
Justin Bieber,Canada,705300
HYBE LABELS,South Korea,2400000
Zee TV,India,6800000
Pinkfong Baby Shark - Kids' Songs & Stories,United States,1900000
Canal KondZilla,Brazil,0
ChuChu TV Nursery Rhymes & Kids Songs,India,1700000
Shemaroo Filmi Gaane,India,1000000
Colors TV,India,4800000
T-Series Bhakti Sagar,India,0.04
Dude Perfect,United States,564800
Movieclips,United States,458700
Tips Official,India,1700000
El Reino Infantil,Argentina,2400000
Wave Music,India,928100
Aaj Tak,India,1800000
Sony Music India,India,1000000
EminemMusic,United States,1000000
Marshmello,United States,448400
YRF,India,2000000
LooLoo Kids - Nursery Rhymes and Children's Songs,nan,0.64
Ed Sheeran,United Kingdom,810900
Infobells - Hindi,India,3300000
Taylor Swift,United States,2100000
Ariana Grande,United States,640900
BillionSurpriseToys  - Nursery Rhymes & Cartoons,United States,1100000
JuegaGerman,Chile,265600
Billie Eilish,United States,587400
Get Movies,Russia,1200000
Shemaroo,India,931000
Badabun,nan,2
SonyMusicIndiaVEVO,United States,1300000
A4,Cuba,0.38
Bad Bunny,nan,0
Fernanfloo,El Salvador,135400
Voot Kids,India,936000
Felipe Neto,Brazil,521400
Vocï¿½ï¿½ï¿½,Brazil,192100
HAR PAL GEO,Pakistan,5300000
BRIGHT SIDE,nan,0
Katy Perry,United States,537000
whinderssonnunes,Brazil,106700
ABS-CBN Entertainment,Philippines,706500
Alan Walker,Thailand,0.09
HolaSoyGerman.,nan,0.02
Shakira,Colombia,1400000
ýýýýýýýý ýý ýýýýýýýýýýýýýý,Russia,1200000
ARY Digital HD,Pakistan,4600000
Speed Records,India,639000
Masha and The Bear,United States,2700000
Like Nastya Show,United States,212800
Rihanna,Barbados,731700
Ishtar Music,India,723800
Kimberly Loaiza,Mexico,547000
Little Baby Bum - Nursery Rhymes & Kids Songs,United States,395100
Luisito Comunica,Mexico,0
elrubiusOMG,nan,23100
Toys and Colors,nan,0.02
shfa2 - ï¿½ï¿½,United Arab Emirates,990900
LUCCAS NETO - LUCCAS TOON,nan,0.01
CarryMinati,India,314800
XXXTENTACION,United States,233400
Super Simple Songs - Kids Songs,Canada,2200000
Mikecrack,Spain,1100000
WorkpointOfficial,Thailand,521800
GR6 EXPLODE,Brazil,6500000
TEDx Talks,United States,182600
shfa,Saudi Arabia,6400
Goldmines Gaane Sune Ansune,India,3300000
One Direction,United States,25
TheEllenShow,United States,87200
Sony PAL,India,1700000
Daddy Yankee,United States,822400
Vlad vï¿½ï¿½ï,United States,976400
Like Nastya ESP,United States,1300000
ýýýýýýýýýýýý one31,Thailand,563000
Jkk Entertainment,India,199400
ABP NEWS,India,1100000
Maria Clara & JP,Brazil,1000000
Bruno Mars,United States,701000
Maroon 5,United States,611300
Ultra Bollywood,India,0
PowerKids TV,nan,1300000
YouTube,United States,84400
News,nan,0
Ozuna,nan,677000
MrBeast Gaming,nan,0.13
La Granja de Zenï¿½,Argentina,1200000
Saregama Music,India,2100000
IndiaTV,India,1200000
T-Series Bollywood Classics,India,1300000
Total Gaming,nan,0.21
Markiplier,United States,509300
Ryan's World,United States,954500
Genevieve's Playhouse - Learning Videos for Kids,United States,1300000
T-Series Apna Punjab,nan,0
Techno Gamerz,nan,0.34
Geet MP3,India,405400
J Balvin,Colombia,514800
Jess No Limit,Indonesia,2200000
Jingle Toons,India,719600
VEGETTA777,Spain,156400
Galinha Pintadinha,Brazil,1600000
SSSniperWolf,United States,843800
Desi Music Factory,nan,0
Selena Gomez,United States,463200
Rajshri,India,1100000
Ch3Thailand,Thailand,0
KHANDESHI MOVIES,India,98900
NoCopyrightSounds,United Kingdom,222600
CVS 3D Rhymes & Kids Songs,India,544300
Ricis Official,Indonesia,628400
BabyBus - Kids Songs and Cartoons,United States,510000
Eros Now Music,India,81100
BETER Bï¿½ï¿½,Turkey,5900000
DisneyMusicVEVO,United States,1300000
The Weeknd,Canada,1500000
WowKidz,nan,0
KAROL G,Colombia,1900000
Mr Bean,United Kingdom,226100
rezendeevil,Brazil,178000
StarPlus,India,6700000
SMTOWN,nan,933600
GMA  Network,Philippines,3200000
GENIAL,Mexico,125800
MR. INDIAN HACKER,India,436500
Worldwide Records Bhojpuri,India,450600
DONA ï¿½ï¿½,United States,613100
Dream,United States,108100
Lucas and Marcus,United States,1200000
JustinBieberVEVO,United States,420500
Luis Fonsi,nan,0
Peppa Pig - Official Channel,United Kingdom,979700
YOLO AVENTURAS,Venezuela,14
The Tonight Show Starring Jimmy Fallon,United States,0
TheDonato,Argentina,762700
ImagineDragons,United States,755300
Diana and Roma ESP,United States,412000
Round2hell,India,127300
Zee News,India,1800000
AboFlah,Kuwait,631600
AH,Indonesia,85800
Trap Nation,United States,183300
ýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,United States,491700
Boram Tube Vlog [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,United States,90900
Adele,United Kingdom,548400
Talking Tom,United States,0
ýýýýýýýý ýýýýýýýý ýýýýýýýýýý | toyoraljanahtv,Jordan,465700
Frost Diamond,nan,0
Spinnin' Records,Netherlands,400200
Little Angel: Nursery Rhymes & Kids Songs,United States,430100
jacksepticeye,nan,161700
Shawn Mendes,Canada,355000
ashish chanchlani vines,India,104700
Ultra Records,United States,327500
Popular on YouTube,nan,0
Maluma,Argentina,0.06
Zhong,United States,0
Enaldinho,Brazil,1200000
AuronPlay,Spain,48600
Shorts Break,nan,243
infobells - Tamil,India,439300
Aditya Music India,nan,0
The Late Late Show with James Corden,United States,105700
Aditya Movies,India,909400
Masha y el Oso,nan,0.01
infobells - Telugu,India,1200000
HUM TV,Pakistan,2700000
Shemaroo Movies,India,739900
Michael Jackson,United States,634400
Drake,nan,0.12
Goldmines Dishoom,nan,516800
Sandeep Maheshwari,Singapore,0
Bounce Patrol - Kids Songs,Australia,509800
toycantando,Colombia,695300
MrBeast 2,United States,0
Wiz Khalifa,United States,361800
JYP Entertainment,South Korea,1200000
ýýý Kids Roma Show,United States,703400
DanTDM,United Kingdom,314700
Nick Jr.,United States,170200
Crazy XYZ,India,408900
ToyPuddingTV,nan,0.06
Dushyant kukreja,India,1700000
Gulshan Kalra,nan,2000000
Brent Rivera,United States,577800
Renato Garcia YT,Brazil,331600
Beast Reacts,United States,1100000
enchufetv,Colombia,97500
Netflix,United States,472900
Raffy Tulfo in Action,Philippines,652500
WORLDSTARHIPHOP,United States,356400
Goldmines Bollywood,India,398700
Alan Chikin Chow,United States,4200000
PANDA BOI,Italy,4900000
BB Ki Vines,India,69100
D Billions,United States,1900000
Junya.ï¿½ï¿½ï¿½ï¿½,Japan,2900000
Smosh,United States,272600
1MILLION Dance Studio,Saudi Arabia,0
NichLmao,nan,2400000
Beyoncï¿,United States,221800
Marï¿½ï¿½ï¿½ï¿½ï¿½,nan,0.01
Indosiar,Indonesia,920700
VanossGaming,Canada,219800
David Guetta,United States,656900
LosPolinesios,Mexico,122000
Nicki Minaj,United States,414500
Fede Vigevani,nan,0
TaylorSwiftVEVO,United States,1300000
ZHC,nan,0.08
Post Malone,United States,782000
Rans Entertainment,Indonesia,233900
LankyBox,United States,3300000
Coldplay,United Kingdom,795500
Las Ratitas,nan,0.04
