DaFuq!?Boom!,United States,9200000
T-Series,India,9000000
Cocomelon - Nursery Rhymes,United States,7900000
SET India,India,7300000
Zee TV,India,6800000
StarPlus,India,6700000
Sony SAB,India,6600000
ViralHog,United States,5500000
MrBeast,United States,5400000
Filaretiki,United States,4800000
Colors TV,India,4800000
LeoNata Family,United States,4700000
Alan Chikin Chow,United States,4200000
Sun TV,India,3900000
Vijay Television,India,3600000
_vector_,United States,3600000
Yoeslan,United States,3500000
LankyBox,United States,3300000
Infobells - Hindi,India,3300000
Goldmines Gaane Sune Ansune,India,3300000
Zee Music Company,India,3200000
That Little Puff,United States,3000000
WWE,United States,2900000
Ishaan Ali 11,India,2900000
Topper Guild,United States,2700000
Masha and The Bear,United States,2700000
Vlad and Niki,United States,2300000
Dangal TV Channel,India,2200000
Taylor Swift,United States,2100000
Saregama Music,India,2100000
YRF,India,2000000
Woody & Kleiny,United Kingdom,2000000
Jake Fellman,United States,2000000
Pinkfong Baby Shark - Kids' Songs & Stories,United States,1900000
D Billions,United States,1900000
Zee News,India,1800000
Marta and Rustam,United States,1800000
Jason Derulo,United States,1800000
Aphmau,United States,1800000
Aaj Tak,India,1800000
TV9 Bharatvarsh,India,1700000
Tips Official,India,1700000
Sony PAL,India,1700000
Priyal Kukreja,India,1700000
Dushyant kukreja,India,1700000
ChuChu TV Nursery Rhymes & Kids Songs,India,1700000
Peet Montzingo,United States,1600000
News18 India,India,1600000
Heroindori,India,1600000
Daily Dose Of Internet,United States,1600000
Tilak,India,1500000
The Vishal bhatt,India,1500000
SEVENGERS,India,1500000
LIV Crime,United States,1500000
Zee Tamil,India,1400000
Mazhavil Manorama,India,1400000
jaanvi patel,India,1400000
Colors Rishtey,India,1400000
T-Series Bollywood Classics,India,1300000
TaylorSwiftVEVO,United States,1300000
Taarak Mehta Ka Ooltah Chashmah,India,1300000
Super JoJo - Nursery Rhymes & Kids Songs,United States,1300000
SonyMusicIndiaVEVO,United States,1300000
Ray William Johnson,United States,1300000
Prime Video India,United States,1300000
Like Nastya ESP,United States,1300000
HUBA��,United States,1300000
Genevieve's Playhouse - Learning Videos for Kids,United States,1300000
DisneyMusicVEVO,United States,1300000
Dan Rhodes,United Kingdom,1300000
unknown boy varun,India,1200000
Lucas and Marcus,United States,1200000
infobells - Telugu,India,1200000
IndiaTV,India,1200000
The Lallantop,India,1100000
Sony AATH,United States,1100000
shakiraVEVO,United States,1100000
Rajshri,India,1100000
etvteluguindia,India,1100000
Disney Junior,United States,1100000
DEV Ke Facts,India,1100000
Danny Fitt,United States,1100000
BillionSurpriseToys  - Nursery Rhymes & Cartoons,United States,1100000
Beast Reacts,United States,1100000
ABP NEWS,India,1100000
7clouds,United States,1100000
SonyMusicSouthVEVO,United States,1000000
Sony Music India,India,1000000
Shemaroo Filmi Gaane,India,1000000
MoreAliA,United Kingdom,1000000
EminemMusic,United States,1000000
Peppa Pig - Official Channel,United Kingdom,979700
Sony Music South,India,968700
Ryan's World,United States,954500
Azhan5star,India,945200
Family Fitness,India,942900
Zach Choi ASMR,United States,936900
Voot Kids,India,936000
Shemaroo,India,931000
Wave Music,India,928100
Adam W,United States,915800
Aditya Movies,India,909400
CookieSwirlC,United States,886800
Think Music India,India,868400
Right to Shiksha,India,855000
RS 1313 SHORTS,India,850600
SSSniperWolf,United States,843800
Sony LIV,India,843600
Daddy Yankee,United States,822400
Ed Sheeran,United Kingdom,810900
Jordan Matter,United States,796100
Coldplay,United Kingdom,795500
Stokes Twins,United States,791800
Post Malone,United States,782000
Ninja Kidz TV,United States,780800
Village Cooking Channel,India,778400
penguinz0,United States,755800
ImagineDragons,United States,755300
CNN,United States,748000
Narendra Modi,India,743900
ABC News,United States,742800
Shemaroo Movies,India,739900
Ben Azelart,United States,739800
Vlad and Niki ESP,United States,735500
Ishtar Music,India,723800
Blippi - Educational Videos for Kids,United States,721600
Flowers Comedy,India,720100
Jingle Toons,India,719600
Sanjoy Das Official,India,716900
Diana and Roma EN,United States,711100
Caylus,United States,710400
Bruno Mars,United States,701000
SSundee,United States,700400
YoungBoy Never Broke Again,United States,679900
Like Nastya AE,United States,679500
Infobells Bangla,India,671600
Mrwhosetheboss,United Kingdom,670800
Unspeakable,United States,659600
David Guetta,United States,656900
Kids Line�������,United States,647600
Sidhu Moose Wala,India,642800
The Royalty Family,United States,640900
Ariana Grande,United States,640900
Speed Records,India,639000
Michael Jackson,United States,634400
Vania Mania Kids,United States,620900
SriBalajiMovies,India,616200
DONA ��,United States,613100
Maroon 5,United States,611300
Preston,United States,606800
PrestonPlayz,United States,606800
Bollywood Classics,India,605900
ZEE5,India,599200
Eli Kids - Cartoons & Songs,United States,597000
Billie Eilish,United States,587400
Brent Rivera,United States,577800
Lady Gaga,United States,572700
DM - Desi Melodies,India,567400
infobells - Kannada,India,566800
Dude Perfect,United States,564800
WB Kids,United States,561300
IShowSpeed,United States,561000
EminemVEVO,United States,557800
Kinder Spielzeug Kanal (Kidibli),United States,557300
Noman Official,India,556500
Kashvi Adlakha,India,556500
Adele,United Kingdom,548400
CVS 3D Rhymes & Kids Songs,India,544300
Lana Del Rey,United States,542300
America's Got Talent,United States,537600
Katy Perry,United States,537000
ETV Jabardasth,India,534300
Vlad and Niki IDN,United States,533400
UFC - Ultimate Fighting Championship,United States,532800
FGTeeV,United States,528400
BBC News Hindi,India,524800
A2 Motivation by Arvind Arora,India,522900
Kids TV - Nursery Rhymes And Baby Songs,United States,513800
Dua Lipa,United Kingdom,512200
Miley Cyrus,United States,511900
BabyBus - Kids Songs and Cartoons,United States,510000
Markiplier,United States,509300
Sesame Street,United States,496700
Enrique Iglesias,United States,491700
50 Cent,United States,479200
Netflix,United States,472900
Selena Gomez,United States,463200
Movieclips,United States,458700
Chetan Monga Vlogs,India,454300
Tekashi 6ix9ine,United States,454200
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,India,453700
FailArmy,United States,451900
Worldwide Records Bhojpuri,India,450600
Marshmello,United States,448400
Charlie Puth,United States,446000
First We Feast,United States,445000
Sebasti���,United States,443100
Fun For Kids TV - Hindi Rhymes,India,439400
Vijay Kumar Viner Vlogs,India,439300
infobells - Tamil,India,439300
MR. INDIAN HACKER,India,436500
Triggered Insaan,India,436100
Little Angel: Nursery Rhymes & Kids Songs,United States,430100
T-Series Hamaar Bhojpuri,India,423900
5-Minute Crafts PLAY,United States,423100
Wow Kidz Action,India,422800
JustinBieberVEVO,United States,420500
CoryxKenshin,United States,420500
Nicki Minaj,United States,414500
Becky G,United States,412700
Diana and Roma ESP,United States,412000
MGC Playhouse,United States,410500
Shemaroo Comedy,India,409700
Calvin Harris,United Kingdom,409600
THE BROWN SIBLINGS,India,409400
Crazy XYZ,India,408900
Geet MP3,India,405400
Goldmines Bollywood,India,398700
Airrack,United States,398600
MalumaVEVO,United States,395300
Little Baby Bum - Nursery Rhymes & Kids Songs,United States,395100
IGN,United States,393400
The MriDul,India,393300
Maroon5VEVO,United States,392700
Troom Troom,United States,392200
Farruko,United States,391000
ArianaGrandeVevo,United States,389700
Atlantic Records,United States,389100
Sia,United States,381000
Zee Kids,India,380700
Pen Movies,India,379400
RihannaVEVO,United States,377000
Queen Official,United Kingdom,375100
White Hill Music,India,372700
Jesser,United States,370400
Vlad y Niki Show,United States,368900
Akon,United States,365000
Wiz Khalifa,United States,361800
Aayu and Pihu Show,India,359100
Beyonc��,United States,358300
WORLDSTARHIPHOP,United States,356400
Lahari Music - TSeries,India,356000
KatyPerryVEVO,United States,355800
SelenaGomezVEVO,United States,354600
Mark Rober,United States,354500
Pitbull,United States,352000
Zee Music Classic,India,345800
Got Talent Global,United Kingdom,345800
SAM SMITH,United Kingdom,343100
AdeleVEVO,United Kingdom,339000
Ultra Records,United States,327500
The Chainsmokers,United States,326600
Lyrical Lemonade,United States,320200
Netflix Jr.,United States,317600
CarryMinati,India,314800
DanTDM,United Kingdom,314700
Kids TV India Hindi Nursery Rhymes,India,314600
Sidemen,United Kingdom,312600
Dave and Ava - Nursery Rhymes and Baby Songs,United States,308200
EnriqueIglesiasVEVO,United States,303100
StudyIQ IAS,India,297900
NBA,United States,292100
Pop Chartbusters,India,291600
Indore Physical Academy,India,281600
Infinite,United States,273400
Smosh,United States,272600
Diana and Roma ARA,United States,267500
BBC News,United Kingdom,265100
Pok���������,India,261500
Vlad and Niki Arabic,United States,260300
Free Fire India Official,India,258900
Eva Bravo Play,United States,255700
Jennifer Lopez,United States,253800
DJ Snake,United States,253200
Fueled By Ramen,United States,244800
Zee Bangla,India,239700
Miss Katy,United Kingdom,238500
NMF News,India,236800
Morgz,United Kingdom,235400
NDTV,India,234100
XXXTENTACION,United States,233400
James Charles,United States,232500
SRK MUSIC,India,231200
WiederDude,United States,227600
Saturday Night Live,United States,226500
Mr Bean,United Kingdom,226100
melanie martinez,United States,225400
NoCopyrightSounds,United Kingdom,222600
Mobile Legends: Bang Bang,United States,221500
TommyInnit,United Kingdom,217200
Britain's Got Talent,United Kingdom,216800
Peppa Pig Espa���������,United Kingdom,214400
Like Nastya Show,United States,212800
5-Minute Crafts Recycle,United States,212700
Wave Music Bhojpuri,India,210700
Marques Brownlee,United States,209300
The Infographics Show,United States,207300
KatieAngel,United States,206700
Meghan Trainor,United States,206600
Volga Video,India,205300
FACT FIRE KING,India,205200
OneDirectionVEVO,United Kingdom,204500
twenty one pilots,United States,203700
Avril Lavigne,United States,200800
Jkk Entertainment,India,199400
LuisFonsiVEVO,United States,199300
NDTV India,India,198600
Migos ATL,United States,197600
Goldmines Cineplex,India,195000
Aadishakti Films,India,193800
Telemundo,United States,193100
Diana and Roma IND,United States,186400
Apple,United States,185900
Trap Nation,United States,183300
National Geographic,United States,183200
TEDx Talks,United States,182600
Vogue,United States,180400
Maya and Mary,United States,178200
BBC,United Kingdom,177700
Veritasium,United States,176600
Blossom,United States,175500
